id,text
004.jpeg,Coursera
004.jpeg,has
004.jpeg,confirmed
004.jpeg,the
004.jpeg,identity
004.jpeg,of
004.jpeg,this
004.jpeg,individual
004.jpeg,and
004.jpeg,their
004.jpeg,participation
004.jpeg,in
004.jpeg,the
004.jpeg,course.
004.jpeg, 
004.jpeg, 
004.jpeg, 
004.jpeg, 
004.jpeg, 
005.jpeg,nd
005.jpeg,5
005.jpeg,BOMBAY
005.jpeg,International
005.jpeg,Conference
005.jpeg,[
005.jpeg,|=
005.jpeg,SECTION
005.jpeg,for
005.jpeg,Advancement
005.jpeg,in
005.jpeg,Technology
005.jpeg,(ICONAT)
005.jpeg,"24"""
005.jpeg,—
005.jpeg,"26"""
005.jpeg,January
005.jpeg,2023
005.jpeg,Certificate
005.jpeg,This
005.jpeg,is
005.jpeg,to
005.jpeg,certify
005.jpeg,that
005.jpeg,Dr./Prof./Mr./Ms.
005.jpeg,Amogh
005.jpeg,D
005.jpeg,Joshi
005.jpeg,has
005.jpeg,presented
005.jpeg,paper
005.jpeg,entitled
005.jpeg,An
005.jpeg,Algorithmic
005.jpeg,Approach
005.jpeg,for
005.jpeg,Text
005.jpeg,Summarization
005.jpeg,in
005.jpeg,"2""¢"
005.jpeg,International
005.jpeg,Conference
005.jpeg,for
005.jpeg,Advancement
005.jpeg,in
005.jpeg,Technology
005.jpeg,(ICONAT)
005.jpeg,during
005.jpeg,&f
005.jpeg,26'*
005.jpeg,January
005.jpeg,2023.
005.jpeg,PEL
005.jpeg,Bad
005.jpeg,General
005.jpeg,Chair
005.jpeg,Publication
005.jpeg,chair
005.jpeg,Organizing
005.jpeg,Chair
005.jpeg,Dr.
005.jpeg,Mrs.
005.jpeg,Sushma
005.jpeg,S.
005.jpeg,Kulkarni
005.jpeg,Dr.
005.jpeg,Amol
005.jpeg,C.
005.jpeg,Adamuthe
005.jpeg,Dr.
005.jpeg,Sachin
005.jpeg,K.
005.jpeg,Patil
005.jpeg,"Director,"
005.jpeg,RIT
005.jpeg,"Head,"
005.jpeg,Department
005.jpeg,of
005.jpeg,"IT,"
005.jpeg,RIT
005.jpeg,Dean
005.jpeg,"Academics,"
005.jpeg,RIT
005.jpeg, 
006.jpeg, 
006.jpeg, 
006.jpeg, 
006.jpeg, 
006.jpeg, 
006.jpeg,UCSan
006.jpeg,Diego
006.jpeg,CERTIFICATE
006.jpeg,HIGHER
006.jpeg,SCHOOL
006.jpeg,OF
006.jpeg,ECONOMICS
006.jpeg,NATIONAL
006.jpeg,RESEARCH
006.jpeg,UNIVERSITY
006.jpeg,05/18/2020
006.jpeg,Priyanshu
006.jpeg,Singh
006.jpeg,has
006.jpeg,successfully
006.jpeg,completed
006.jpeg,Algorithmic
006.jpeg,Toolbox
006.jpeg,an
006.jpeg,online
006.jpeg,non-credit
006.jpeg,course
006.jpeg,authorized
006.jpeg,by
006.jpeg,University
006.jpeg,of
006.jpeg,California
006.jpeg,San
006.jpeg,Diego
006.jpeg,and
006.jpeg,National
006.jpeg,Research
006.jpeg,University
006.jpeg,Higher
006.jpeg,School
006.jpeg,of
006.jpeg,Economics
006.jpeg,and
006.jpeg,offered
006.jpeg,through
006.jpeg,Coursera
006.jpeg, 
006.jpeg, 
006.jpeg, 
006.jpeg, 
006.jpeg, 
006.jpeg, 
006.jpeg, 
006.jpeg, 
006.jpeg, 
006.jpeg, 
006.jpeg, 
006.jpeg,Ee
006.jpeg,Alexander
006.jpeg,S.
006.jpeg,"Kulikov,"
006.jpeg,Visiting
006.jpeg,Professor;
006.jpeg,Michael
006.jpeg,"Levin,"
006.jpeg,Associate
006.jpeg,Professor;
006.jpeg,Neil
006.jpeg,"Rhodes,"
006.jpeg,Adjunct
006.jpeg,Faculty;
006.jpeg,Pavel
006.jpeg,A.
006.jpeg,"Pevzner,"
006.jpeg,Ronald
006.jpeg,R.
006.jpeg,Taylor
006.jpeg,Distinguished
006.jpeg,Professor
006.jpeg,of
006.jpeg,Computer
006.jpeg,"Science,"
006.jpeg,"Director,"
006.jpeg,NIH
006.jpeg,Center
006.jpeg,for
006.jpeg,Computational
006.jpeg,Mass
006.jpeg,Spectrometry;
006.jpeg,Daniel
006.jpeg,M
006.jpeg,"Kane,"
006.jpeg,Assistant
006.jpeg,"Professor,"
006.jpeg,Computer
006.jpeg,Science
006.jpeg,and
006.jpeg,Engineering
006.jpeg,at
006.jpeg,the
006.jpeg,University
006.jpeg,of
006.jpeg,"California,"
006.jpeg,San
006.jpeg,Diego
006.jpeg,Verify
006.jpeg,at
006.jpeg,coursera.org/verify
006.jpeg,/JKKPMU64X2FR
006.jpeg,Coursera
006.jpeg,has
006.jpeg,confirmed
006.jpeg,the
006.jpeg,identity
006.jpeg,of
006.jpeg,this
006.jpeg,individual
006.jpeg,and
006.jpeg,their
006.jpeg,participation
006.jpeg,in
006.jpeg,the
006.jpeg,course.
006.jpeg, 
006.jpeg, 
006.jpeg, 
006.jpeg, 
006.jpeg, 
006.jpeg, 
006.jpeg, 
006.jpeg, 
007.jpeg,"Ko,"
007.jpeg,SOMAIYA
007.jpeg,|
007.jpeg,T
007.jpeg,The
007.jpeg,Institution
007.jpeg,of
007.jpeg,VIDYAVIHAR
007.jpeg,Engineering
007.jpeg,and
007.jpeg,Technology
007.jpeg,eS
007.jpeg,oN
007.jpeg,ey
007.jpeg,Somaiya
007.jpeg,Institute
007.jpeg,of
007.jpeg,Technology
007.jpeg,Participation
007.jpeg,Certificate
007.jpeg,Nidhee
007.jpeg,Makwana
007.jpeg,has
007.jpeg,participated
007.jpeg,in
007.jpeg,National
007.jpeg,Level
007.jpeg,Poster
007.jpeg,cum
007.jpeg,Project
007.jpeg,Competition
007.jpeg,“KJSIT-IET-INTECH
007.jpeg,2K23”
007.jpeg,organized
007.jpeg,by
007.jpeg,K
007.jpeg,J
007.jpeg,Somaiya
007.jpeg,Institute
007.jpeg,of
007.jpeg,"Technology,"
007.jpeg,"Sion,"
007.jpeg,Mumbai
007.jpeg,in
007.jpeg,association
007.jpeg,with
007.jpeg,The
007.jpeg,Institution
007.jpeg,of
007.jpeg,Engineering
007.jpeg,and
007.jpeg,"Technology,"
007.jpeg,Mumbai
007.jpeg,Local
007.jpeg,Network
007.jpeg, 
007.jpeg,on
007.jpeg,March
007.jpeg,"25,"
007.jpeg,2023
007.jpeg,Mr.
007.jpeg,Vikrant
007.jpeg,Sankhe
007.jpeg,Dr.
007.jpeg,Sunita
007.jpeg,Patil
007.jpeg,Dr.
007.jpeg,Suresh
007.jpeg,Ukarande
007.jpeg,"Chairman,"
007.jpeg,IET
007.jpeg,Mumbai
007.jpeg,LN
007.jpeg,Vice
007.jpeg,"Principal,"
007.jpeg,KJSIEIT
007.jpeg,"Principal,"
007.jpeg,KJSIEIT
007.jpeg, 
008.jpeg,Certificate
008.jpeg,no:
008.jpeg,UC-e72c73d9
008.jpeg,-5225-429d-b8f8-O0acfbad2aic
008.jpeg,U
008.jpeg,a
008.jpeg,e
008.jpeg,my
008.jpeg,Certificate
008.jpeg,url:
008.jpeg,Reference
008.jpeg,Number:
008.jpeg,0004
008.jpeg,CERTIFICATE
008.jpeg,OF
008.jpeg,COMPLETION
008.jpeg,Introduction
008.jpeg,to
008.jpeg,Apache
008.jpeg,Cloudera
008.jpeg,DataFlow
008.jpeg,-
008.jpeg,HDF
008.jpeg,2.0
008.jpeg,Instructors
008.jpeg,Stephane
008.jpeg,Maarek
008.jpeg,|
008.jpeg,AWS
008.jpeg,Certified
008.jpeg,Cloud
008.jpeg,"Practitioner,Solutions"
008.jpeg,"Architect,"
008.jpeg,Developer
008.jpeg, 
008.jpeg,Priyanshu
008.jpeg,Singh
008.jpeg,Date
008.jpeg,Length
008.jpeg,2
008.jpeg,total
008.jpeg,hours
009.jpeg,Certificate
009.jpeg,of
009.jpeg,Participation
009.jpeg,Presented
009.jpeg,to
009.jpeg,Sakshi
009.jpeg,"Gangurde,"
009.jpeg,Ftadwale
009.jpeg,&
009.jpeg,Srushti
009.jpeg,Kénade
009.jpeg,for
009.jpeg,successfully
009.jpeg,completing
009.jpeg,a
009.jpeg,one-month
009.jpeg,internship
009.jpeg,program
009.jpeg,on
009.jpeg,"Azure,"
009.jpeg,Java
009.jpeg,and
009.jpeg,Web
009.jpeg,Development
009.jpeg,from
009.jpeg,December
009.jpeg,2022
009.jpeg,to
009.jpeg,January
009.jpeg,2023
009.jpeg,Department
009.jpeg,of
009.jpeg,Computer
009.jpeg,Engineering
009.jpeg,In
009.jpeg,Association
009.jpeg,with
009.jpeg,Claidroid
009.jpeg,Technologies
009.jpeg,Pvt.
009.jpeg,"Ltd.,"
009.jpeg,The
009.jpeg,Institution
009.jpeg,of
009.jpeg,Engineering
009.jpeg,and
009.jpeg,Technology
009.jpeg,(IET)
009.jpeg,&
009.jpeg,Industry
009.jpeg,Institute
009.jpeg,Interaction
009.jpeg,Cell
009.jpeg,of
009.jpeg,"KJSIT,"
009.jpeg,Mumbai
009.jpeg,@®
009.jpeg,©
009.jpeg,Vinay
009.jpeg,Sawarkar
009.jpeg,CEO)
009.jpeg,Claidroid
009.jpeg,Technologies
009.jpeg,Pvt
009.jpeg,Ltd
009.jpeg,CTPL/Internship/Comp/@120231591
009.jpeg, 
010.jpeg,Certificate
010.jpeg,no:
010.jpeg,UC-2ab3bd7t-5a7d-489b-ad76-3ce5c92eleBe
010.jpeg,U
010.jpeg,a
010.jpeg,e
010.jpeg,mM
010.jpeg,Certificate
010.jpeg,url:
010.jpeg,ude.my/UC-2ab3bd7f-5a7d-489b-ad76-3ce5c92e1e8e
010.jpeg,Reference
010.jpeg,Number:
010.jpeg,0004
010.jpeg,CERTIFICATE
010.jpeg,OF
010.jpeg,COMPLETION
010.jpeg,Apache
010.jpeg,Spark
010.jpeg,3
010.jpeg,-
010.jpeg,Databricks
010.jpeg,Certified
010.jpeg,Associate
010.jpeg,Developer
010.jpeg,Instructors
010.jpeg,Wadson
010.jpeg,Guimatsa
010.jpeg,Priyanshu
010.jpeg,Singh3
010.jpeg,Date
010.jpeg,Dec.
010.jpeg,"'7,"
010.jpeg,2022
010.jpeg,Length
010.jpeg,4.5
010.jpeg,total
010.jpeg,hours
0100.jpeg,Certificate
0100.jpeg,no:
0100.jpeg,U
0100.jpeg,a
0100.jpeg,e
0100.jpeg,my
0100.jpeg,Certificate
0100.jpeg,url:
0100.jpeg,Reference
0100.jpeg,Number:
0100.jpeg,0004
0100.jpeg,CERTIFICATE
0100.jpeg,OF
0100.jpeg,COMPLETION
0100.jpeg,Informatica
0100.jpeg,PowerCenter
0100.jpeg,-
0100.jpeg,Beginner
0100.jpeg,to
0100.jpeg,Expert
0100.jpeg,Level
0100.jpeg,Instructors
0100.jpeg,Smart
0100.jpeg,Coders
0100.jpeg,Hub
0100.jpeg,Priyanshu
0100.jpeg,Singh
0100.jpeg,Date
0100.jpeg,Feb.
0100.jpeg,"1,"
0100.jpeg,2023
0100.jpeg,Length
0100.jpeg,19.5
0100.jpeg,total
0100.jpeg,hours
0101.jpeg, 
0101.jpeg,VIDYAVIHAR
0101.jpeg,K
0101.jpeg,J
0101.jpeg,Somaiya
0101.jpeg,Institute
0101.jpeg,of
0101.jpeg,Engineering
0101.jpeg,and
0101.jpeg,Information
0101.jpeg,Technology
0101.jpeg,CERTIFICATE
0101.jpeg,OF
0101.jpeg,PARTICIPATION
0101.jpeg,Ananya
0101.jpeg,Srivastava
0101.jpeg, 
0101.jpeg,has
0101.jpeg,actively
0101.jpeg,participated
0101.jpeg,in
0101.jpeg,Student
0101.jpeg,Development
0101.jpeg,Program
0101.jpeg,on
0101.jpeg,"""Building"
0101.jpeg,Start-Up
0101.jpeg,"Ecosystems"""
0101.jpeg,held
0101.jpeg,on
0101.jpeg,01
0101.jpeg,July
0101.jpeg,2021
0101.jpeg,to
0101.jpeg,03
0101.jpeg,July
0101.jpeg,20201
0101.jpeg,Organized
0101.jpeg,by
0101.jpeg,INNOVATION
0101.jpeg,COUNCIL
0101.jpeg,National
0101.jpeg,Innovation
0101.jpeg,and
0101.jpeg,Startup
0101.jpeg,Policy
0101.jpeg,(NISP)
0101.jpeg,io
0101.jpeg, 
0101.jpeg,in
0101.jpeg,Association
0101.jpeg,with
0101.jpeg,Institution's
0101.jpeg,Innovation
0101.jpeg,Council
0101.jpeg,(IIC)
0101.jpeg,Ye
0101.jpeg,Yor
0101.jpeg,a
0101.jpeg, 
0101.jpeg, 
0101.jpeg, 
0101.jpeg, 
0101.jpeg,Dr.
0101.jpeg,Vaishali
0101.jpeg,Wadhe
0101.jpeg,Dr.
0101.jpeg,Hariram
0101.jpeg,Chavan
0101.jpeg,Dr.
0101.jpeg,Radhika
0101.jpeg,Kotecha
0101.jpeg,Dr.
0101.jpeg,Sunita
0101.jpeg,Patil
0101.jpeg,Dr.
0101.jpeg,Suresh
0101.jpeg,Ukarande
0101.jpeg,Coordinator
0101.jpeg,SDP
0101.jpeg,Convenor
0101.jpeg,SDP
0101.jpeg,Convenor
0101.jpeg,IIC
0101.jpeg,Vice-Principal
0101.jpeg,Principal
0101.jpeg, 
0102.jpeg,Official
0102.jpeg,member
0102.jpeg,to
0102.jpeg,©
0102.jpeg,Suven
0102.jpeg,Consultants
0102.jpeg,&
0102.jpeg,Technology
0102.jpeg,Pvt.
0102.jpeg,Ltd.
0102.jpeg,shines
0102.jpeg,ay:
0102.jpeg,CERTIFICATE
0102.jpeg,OF
0102.jpeg,INTERNSHIP
0102.jpeg,This
0102.jpeg,is
0102.jpeg,to
0102.jpeg,certify
0102.jpeg,that
0102.jpeg,Priyanshu
0102.jpeg,Singh
0102.jpeg,has
0102.jpeg,successfully
0102.jpeg,completed
0102.jpeg,2
0102.jpeg,weeks
0102.jpeg,(or
0102.jpeg,70
0102.jpeg,hrs)
0102.jpeg,HTML5+CSS3
0102.jpeg,Coding
0102.jpeg,Internship.
0102.jpeg,1)
0102.jpeg,365
0102.jpeg,Entertainment
0102.jpeg,-
0102.jpeg,similar
0102.jpeg,to
0102.jpeg,Hotstar.com
0102.jpeg,2)
0102.jpeg,Blogging
0102.jpeg,-
0102.jpeg,similar
0102.jpeg,to
0102.jpeg,Medium.com
0102.jpeg,3)
0102.jpeg,CSS3
0102.jpeg,Animations
0102.jpeg,4)
0102.jpeg,Voter
0102.jpeg,Registration
0102.jpeg,-
0102.jpeg,Replica
0102.jpeg,of
0102.jpeg,National
0102.jpeg,Voter
0102.jpeg,Service
0102.jpeg,Portal
0102.jpeg,Form
0102.jpeg,6
0102.jpeg,The
0102.jpeg,projects
0102.jpeg,were
0102.jpeg,assessed
0102.jpeg,by
0102.jpeg,Al
0102.jpeg,Engine
0102.jpeg,trained
0102.jpeg,by
0102.jpeg,mentors
0102.jpeg,as
0102.jpeg,listed
0102.jpeg,on
0102.jpeg,https://mentor.suvenconsultants.com
0102.jpeg,Your
0102.jpeg,performance
0102.jpeg,was
0102.jpeg,Commendable
0102.jpeg,-
0102.jpeg,LY
0102.jpeg,®
0102.jpeg,inthe
0102.jpeg,Online
0102.jpeg,Internship.
0102.jpeg,Wishing
0102.jpeg,you
0102.jpeg,all
0102.jpeg,the
0102.jpeg,best
0102.jpeg,for
0102.jpeg,more
0102.jpeg,internships
0102.jpeg,and
0102.jpeg,a
0102.jpeg,great
0102.jpeg,career.
0102.jpeg,Your
0102.jpeg,Internship
0102.jpeg,Profile
0102.jpeg,can
0102.jpeg,be
0102.jpeg,viewed
0102.jpeg,on
0102.jpeg,Domain
0102.jpeg,Expert:
0102.jpeg,Rocky
0102.jpeg,Jagtiani
0102.jpeg,Domain
0102.jpeg,Expert:
0102.jpeg,Niraj
0102.jpeg,Sharma
0102.jpeg,Domain
0102.jpeg,Expert:
0102.jpeg,Tarik
0102.jpeg,Sheth
0102.jpeg,Date
0102.jpeg,of
0102.jpeg,Issue:
0102.jpeg,24-01-2021
0102.jpeg,Technical
0102.jpeg,Head
0102.jpeg,-
0102.jpeg,SCTPL.
0102.jpeg,UI/UX
0102.jpeg,expert
0102.jpeg,and
0102.jpeg,Software
0102.jpeg,Engineer
0102.jpeg,"MCP,HP(AIS),CSTE,CSQA,CSTM"
0102.jpeg,This
0102.jpeg,is
0102.jpeg,auto
0102.jpeg,generated
0102.jpeg,by
0102.jpeg,our
0102.jpeg,ai
0102.jpeg,engine
0102.jpeg,https://suvenconsultants.com
0102.jpeg,NeoSOFT
0102.jpeg,Technologies
0102.jpeg,VP(in
0102.jpeg,Investment
0102.jpeg,Banking
0102.jpeg,MNC)
0102.jpeg,Companies
0102.jpeg,Recruiting
0102.jpeg,...
0102.jpeg,&
0102.jpeg,Many
0102.jpeg,More
0102.jpeg,2
0102.jpeg,IT'S
0102.jpeg,"THOUGHTFUL,"
0102.jpeg,IT's
0102.jpeg,a
0102.jpeg,KenBk
0102.jpeg,rd
0102.jpeg,|
0102.jpeg,Tech
0102.jpeg,i
0102.jpeg,x
0102.jpeg,iksula
0102.jpeg,Mahindra
0102.jpeg,Deloitte.
0102.jpeg,4
0102.jpeg,Rg
0102.jpeg,kingston
0102.jpeg,Rustomice
0102.jpeg,Tee
0102.jpeg, 
0103.jpeg,Certificate
0103.jpeg,of
0103.jpeg,Participation
0103.jpeg,Presented
0103.jpeg,to
0103.jpeg,Sakshi
0103.jpeg,"Gangurde,"
0103.jpeg,Ftadwale
0103.jpeg,€
0103.jpeg,Srushti
0103.jpeg,Kenade
0103.jpeg,for
0103.jpeg,successfully
0103.jpeg,completing
0103.jpeg,a
0103.jpeg,one-month
0103.jpeg,internship
0103.jpeg,program
0103.jpeg,on
0103.jpeg,"Azure,"
0103.jpeg,Java
0103.jpeg,and
0103.jpeg,Web
0103.jpeg,Development
0103.jpeg,prom
0103.jpeg,December
0103.jpeg,2022
0103.jpeg,to
0103.jpeg,January
0103.jpeg,2023
0103.jpeg,Organized
0103.jpeg,bay
0103.jpeg,Department
0103.jpeg,of
0103.jpeg,Computer
0103.jpeg,Engineering
0103.jpeg,In
0103.jpeg,Association
0103.jpeg,with
0103.jpeg,Claidroid
0103.jpeg,Technologies
0103.jpeg,Pvt.
0103.jpeg,"Ltd.,"
0103.jpeg,The
0103.jpeg,Institution
0103.jpeg,of
0103.jpeg,Engineering
0103.jpeg,and
0103.jpeg,Technology
0103.jpeg,(IET)
0103.jpeg,&
0103.jpeg,Industry
0103.jpeg,Institute
0103.jpeg,Interaction
0103.jpeg,Cell
0103.jpeg,(I1IC)
0103.jpeg,of
0103.jpeg,"KJSIT,"
0103.jpeg,Mumbai
0103.jpeg,e
0103.jpeg,=
0103.jpeg,Vinay
0103.jpeg,Sawarkar
0103.jpeg,GE©
0103.jpeg,Claidroid
0103.jpeg,Technologies
0103.jpeg,Pvt
0103.jpeg,Ltd
0103.jpeg,CTPL/Internship/Comp/@120231591
0103.jpeg, 
0104.jpeg, 
0104.jpeg, 
0104.jpeg, 
0104.jpeg, 
0104.jpeg, 
0104.jpeg,COURSE
0104.jpeg,UNIVERSITY
0104.jpeg,OF
0104.jpeg,CERTIFICATE
0104.jpeg,MICHIGAN
0104.jpeg,06/10/2020
0104.jpeg,Priyanshu
0104.jpeg,Singh
0104.jpeg,has
0104.jpeg,successfully
0104.jpeg,completed
0104.jpeg,Introduction
0104.jpeg,to
0104.jpeg,CSS3
0104.jpeg,an
0104.jpeg,online
0104.jpeg,non-credit
0104.jpeg,course
0104.jpeg,authorized
0104.jpeg,by
0104.jpeg,University
0104.jpeg,of
0104.jpeg,Michigan
0104.jpeg,and
0104.jpeg,offered
0104.jpeg,through
0104.jpeg,Coursera
0104.jpeg, 
0104.jpeg, 
0104.jpeg, 
0104.jpeg, 
0104.jpeg, 
0104.jpeg, 
0104.jpeg, 
0104.jpeg, 
0104.jpeg, 
0104.jpeg, 
0104.jpeg, 
0104.jpeg,Colleen
0104.jpeg,van
0104.jpeg,"Lent,"
0104.jpeg,Ph.D.
0104.jpeg,Charles
0104.jpeg,Severance
0104.jpeg,Lecturer
0104.jpeg,Clinical
0104.jpeg,"Professor,"
0104.jpeg,School
0104.jpeg,of
0104.jpeg,Information
0104.jpeg,School
0104.jpeg,of
0104.jpeg,"Information,"
0104.jpeg,University
0104.jpeg,of
0104.jpeg,Michigan
0104.jpeg,University
0104.jpeg,of
0104.jpeg,Michigan
0104.jpeg,Verify
0104.jpeg,at
0104.jpeg,coursera.org/verify/PELCQ6M7PDKT
0104.jpeg,Coursera
0104.jpeg,has
0104.jpeg,confirmed
0104.jpeg,the
0104.jpeg,identity
0104.jpeg,of
0104.jpeg,this
0104.jpeg,individual
0104.jpeg,and
0104.jpeg,their
0104.jpeg,participation
0104.jpeg,in
0104.jpeg,the
0104.jpeg,course.
0104.jpeg, 
0104.jpeg, 
0104.jpeg, 
0104.jpeg, 
0104.jpeg, 
0104.jpeg, 
0104.jpeg, 
0104.jpeg, 
0105.jpeg,   
0105.jpeg,ENERGYPRO||
0105.jpeg,EVATH@N
0105.jpeg,|
0105.jpeg,@esps
0105.jpeg,Survival
0105.jpeg,of
0105.jpeg,the
0105.jpeg,fittest!
0105.jpeg,CERTIFICATE
0105.jpeg,Winner
0105.jpeg,This
0105.jpeg,certificate
0105.jpeg,is
0105.jpeg,awarded
0105.jpeg,to
0105.jpeg,Jay
0105.jpeg,Munjapara
0105.jpeg,of
0105.jpeg,team
0105.jpeg,Ctrl
0105.jpeg,+
0105.jpeg,Alt
0105.jpeg,+
0105.jpeg,Elite
0105.jpeg, 
0105.jpeg,FIRST
0105.jpeg,WINNER
0105.jpeg,OF
0105.jpeg,EVATHON
0105.jpeg,2021
0105.jpeg,PROF.
0105.jpeg,DR.
0105.jpeg,MEGHANA
0105.jpeg,KSHIRSAGAR
0105.jpeg,"DIRECTOR,"
0105.jpeg,BIOCOMPUTING
0105.jpeg,AND
0105.jpeg,DEVELOPMENTAL
0105.jpeg,POSTDOCTORAL
0105.jpeg,"RESEARCHER,"
0105.jpeg,BIOCOMPUTING
0105.jpeg,AND
0105.jpeg,SYSTEMS
0105.jpeg,GROUP
0105.jpeg,"(BDS),"
0105.jpeg,UNIVERSITY
0105.jpeg,OF
0105.jpeg,"LIMERICK,"
0105.jpeg,IRELAND
0105.jpeg,DEVELOPMENTAL
0105.jpeg,"CHAIR,"
0105.jpeg,EVATHON
0105.jpeg,2021
0105.jpeg,SYSTEMS
0105.jpeg,GROUP
0105.jpeg,"(BDS),"
0105.jpeg,UNIVERSITY
0105.jpeg,OF
0105.jpeg,"LIMERICK,"
0105.jpeg,IRELAND
0105.jpeg,"CO-CHAIR,"
0105.jpeg,EVATHON
0105.jpeg,2021
0105.jpeg, 
0106.jpeg, 
0106.jpeg, 
0106.jpeg, 
0106.jpeg, 
0106.jpeg, 
0106.jpeg, 
0106.jpeg,Google
0106.jpeg,06/18/2020
0106.jpeg,Priyanshu
0106.jpeg,Singh
0106.jpeg,has
0106.jpeg,successfully
0106.jpeg,completed
0106.jpeg,Introduction
0106.jpeg,to
0106.jpeg,Git
0106.jpeg,and
0106.jpeg,GitHub
0106.jpeg,an
0106.jpeg,online
0106.jpeg,non-credit
0106.jpeg,course
0106.jpeg,authorized
0106.jpeg,by
0106.jpeg,Google
0106.jpeg,and
0106.jpeg,offered
0106.jpeg,through
0106.jpeg,Coursera
0106.jpeg,COURSE
0106.jpeg,CERTIFICATE
0106.jpeg, 
0106.jpeg, 
0106.jpeg, 
0106.jpeg,Verify
0106.jpeg,at
0106.jpeg,coursera.org/verify/6QSL3ERSR5CU
0106.jpeg,Coursera
0106.jpeg,has
0106.jpeg,confirmed
0106.jpeg,the
