id,text,tag
003.jpeg,in,I-DES
003.jpeg,association,I-DES
003.jpeg,with,I-DES
003.jpeg,The,I-DES
003.jpeg,Institution,I-DES
003.jpeg,of,I-DES
003.jpeg,Engineering,I-DES
003.jpeg,and,I-DES
003.jpeg,"Technology,",I-DES
003.jpeg,Mumbai,I-DES
003.jpeg,Local,I-DES
003.jpeg,Network,I-DES
003.jpeg,,O
003.jpeg,on,B-DAT
003.jpeg,March,I-DAT
003.jpeg,"25,",I-DAT
003.jpeg,2023,I-DAT
003.jpeg,Mr.,B-NCER
003.jpeg,Vikrant,I-NCER
003.jpeg,Sankhe,I-NCER
003.jpeg,Dr.,I-NCER
003.jpeg,Sunita,I-NCER
003.jpeg,Patil,I-NCER
003.jpeg,Dr.,I-NCER
003.jpeg,Suresh,I-NCER
003.jpeg,Ukarande,I-NCER
003.jpeg,"Chairman,",I-NCER
003.jpeg,IET,I-NCER
003.jpeg,Mumbai,I-NCER
003.jpeg,LN,I-NCER
003.jpeg,Vice,I-NCER
003.jpeg,"Principal,",I-NCER
003.jpeg,KJSIEIT,I-NCER
003.jpeg,"Principal,",I-NCER
003.jpeg,KJSIEIT,I-NCER
003.jpeg,,O
004.jpeg,,O
004.jpeg,,O
004.jpeg,,O
004.jpeg,,O
004.jpeg,©DeepLearning.Al,B-COI
004.jpeg,|,B-DES
004.jpeg,Apr,B-DAT
004.jpeg,"15,",I-DAT
004.jpeg,2021,I-DAT
004.jpeg,Priyanshu,B-STU
004.jpeg,Singh,I-STU
004.jpeg,has,B-DES
004.jpeg,successfully,I-DES
004.jpeg,completed,I-DES
004.jpeg,Al,I-DES
004.jpeg,For,I-DES
004.jpeg,Everyone,I-DES
004.jpeg,an,I-DES
004.jpeg,online,I-DES
004.jpeg,non-credit,I-DES
004.jpeg,course,I-DES
004.jpeg,authorized,I-DES
004.jpeg,by,I-DES
004.jpeg,DeepLearning.Al,I-DES
004.jpeg,and,I-DES
004.jpeg,offered,I-DES
004.jpeg,through,I-DES
004.jpeg,Coursera,I-DES
004.jpeg,,O
004.jpeg,,O
004.jpeg,,O
004.jpeg,Sey,B-NCER
004.jpeg,"Founder,",I-NCER
004.jpeg,DeepLeamning,I-NCER
004.jpeg,Al,I-NCER
004.jpeg,"Co-founder,",I-NCER
004.jpeg,Coursera,I-NCER
004.jpeg,Verify,B-DES
004.jpeg,at,I-DES
004.jpeg,coursera.,I-DES
004.jpeg,org/verify/VHDUECBRSK86,I-DES
004.jpeg,Coursera,I-DES
004.jpeg,has,I-DES
004.jpeg,confirmed,I-DES
004.jpeg,the,I-DES
004.jpeg,identity,I-DES
004.jpeg,of,I-DES
004.jpeg,this,I-DES
004.jpeg,individual,I-DES
004.jpeg,and,I-DES
004.jpeg,their,I-DES
004.jpeg,participation,I-DES
004.jpeg,in,I-DES
004.jpeg,the,I-DES
004.jpeg,course.,I-DES
004.jpeg,,O
004.jpeg,,O
004.jpeg,,O
004.jpeg,,O
004.jpeg,,O
005.jpeg,nd,B-DES
005.jpeg,5,I-DES
005.jpeg,BOMBAY,I-DES
005.jpeg,International,I-DES
005.jpeg,Conference,I-DES
005.jpeg,[,I-DES
005.jpeg,|=,I-DES
005.jpeg,SECTION,I-DES
005.jpeg,for,I-DES
005.jpeg,Advancement,I-DES
005.jpeg,in,I-DES
005.jpeg,Technology,I-DES
005.jpeg,(ICONAT),I-DES
005.jpeg,"24""",B-DAT
005.jpeg,—,I-DAT
005.jpeg,"26""",I-DAT
005.jpeg,January,I-DAT
005.jpeg,2023,I-DAT
005.jpeg,Certificate,B-DES
005.jpeg,This,I-DES
005.jpeg,is,I-DES
005.jpeg,to,I-DES
005.jpeg,certify,I-DES
005.jpeg,that,I-DES
005.jpeg,Dr./Prof./Mr./Ms.,B-STU
005.jpeg,Amogh,I-STU
005.jpeg,D,I-STU
005.jpeg,Joshi,I-STU
005.jpeg,has,B-DES
005.jpeg,presented,I-DES
005.jpeg,paper,I-DES
005.jpeg,entitled,I-DES
005.jpeg,An,I-DES
005.jpeg,Algorithmic,I-DES
005.jpeg,Approach,I-DES
005.jpeg,for,I-DES
005.jpeg,Text,I-DES
005.jpeg,Summarization,I-DES
005.jpeg,in,I-DES
005.jpeg,"2""¢",I-DES
005.jpeg,International,I-DES
005.jpeg,Conference,I-DES
005.jpeg,for,I-DES
005.jpeg,Advancement,I-DES
005.jpeg,in,I-DES
005.jpeg,Technology,I-DES
005.jpeg,(ICONAT),I-DES
005.jpeg,during,I-DES
005.jpeg,&f,I-DES
005.jpeg,26'*,B-DAT
005.jpeg,January,I-DAT
005.jpeg,2023,I-DAT
005.jpeg,PEL,B-NCER
005.jpeg,Bad,I-NCER
005.jpeg,General,I-NCER
005.jpeg,Chair,I-NCER
005.jpeg,Publication,I-NCER
005.jpeg,chair,I-NCER
005.jpeg,Organizing,I-NCER
005.jpeg,Chair,I-NCER
005.jpeg,Dr.,I-NCER
005.jpeg,Mrs.,I-NCER
005.jpeg,Sushma,I-NCER
005.jpeg,S.,I-NCER
005.jpeg,Kulkarni,I-NCER
005.jpeg,Dr.,I-NCER
005.jpeg,Amol,I-NCER
005.jpeg,C.,I-NCER
005.jpeg,Adamuthe,I-NCER
005.jpeg,Dr.,I-NCER
005.jpeg,Sachin,I-NCER
005.jpeg,K.,I-NCER
005.jpeg,Patil,I-NCER
005.jpeg,"Director,",I-NCER
005.jpeg,RIT,I-NCER
005.jpeg,"Head,",I-NCER
005.jpeg,Department,I-NCER
005.jpeg,of,I-NCER
005.jpeg,"IT,",I-NCER
005.jpeg,RIT,I-NCER
005.jpeg,Dean,I-NCER
005.jpeg,"Academics,",I-NCER
005.jpeg,RIT,I-NCER
005.jpeg,,O
006.jpeg,,O
006.jpeg,,O
006.jpeg,,O
006.jpeg,,O
006.jpeg,,O
006.jpeg,UCSan,B-COI
006.jpeg,Diego,I-COI
006.jpeg,CERTIFICATE,B-TYP
006.jpeg,HIGHER,I-COI
006.jpeg,SCHOOL,I-COI
006.jpeg,OF,I-COI
006.jpeg,ECONOMICS,I-COI
006.jpeg,NATIONAL,I-COI
006.jpeg,RESEARCH,I-COI
006.jpeg,UNIVERSITY,I-COI
006.jpeg,43969,B-DAT
006.jpeg,Priyanshu,B-STU
006.jpeg,Singh,I-STU
006.jpeg,has,B-DES
006.jpeg,successfully,I-DES
006.jpeg,completed,I-DES
006.jpeg,Algorithmic,I-DES
006.jpeg,Toolbox,I-DES
006.jpeg,an,I-DES
006.jpeg,online,I-DES
006.jpeg,non-credit,I-DES
006.jpeg,course,I-DES
006.jpeg,authorized,I-DES
006.jpeg,by,I-DES
006.jpeg,University,I-DES
006.jpeg,of,I-DES
006.jpeg,California,I-DES
006.jpeg,San,I-DES
006.jpeg,Diego,I-DES
006.jpeg,and,I-DES
006.jpeg,National,I-DES
006.jpeg,Research,I-DES
006.jpeg,University,I-DES
006.jpeg,Higher,I-DES
006.jpeg,School,I-DES
006.jpeg,of,I-DES
006.jpeg,Economics,I-DES
006.jpeg,and,I-DES
006.jpeg,offered,I-DES
006.jpeg,through,I-DES
006.jpeg,Coursera,I-DES
006.jpeg,,O
006.jpeg,,O
006.jpeg,,O
006.jpeg,,O
006.jpeg,,O
006.jpeg,,O
006.jpeg,,O
006.jpeg,,O
006.jpeg,,O
006.jpeg,,O
006.jpeg,,O
006.jpeg,Ee,B-NCER
006.jpeg,Alexander,I-NCER
006.jpeg,S.,I-NCER
006.jpeg,"Kulikov,",I-NCER
006.jpeg,Visiting,I-NCER
006.jpeg,Professor;,I-NCER
006.jpeg,Michael,I-NCER
006.jpeg,"Levin,",I-NCER
006.jpeg,Associate,I-NCER
006.jpeg,Professor;,I-NCER
006.jpeg,Neil,I-NCER
006.jpeg,"Rhodes,",I-NCER
006.jpeg,Adjunct,I-NCER
006.jpeg,Faculty;,I-NCER
006.jpeg,Pavel,I-NCER
006.jpeg,A.,I-NCER
006.jpeg,"Pevzner,",I-NCER
006.jpeg,Ronald,I-NCER
006.jpeg,R.,I-NCER
006.jpeg,Taylor,I-NCER
006.jpeg,Distinguished,I-NCER
006.jpeg,Professor,I-NCER
006.jpeg,of,I-NCER
006.jpeg,Computer,I-NCER
006.jpeg,"Science,",I-NCER
006.jpeg,"Director,",I-NCER
006.jpeg,NIH,I-NCER
006.jpeg,Center,I-NCER
006.jpeg,for,I-NCER
006.jpeg,Computational,I-NCER
006.jpeg,Mass,I-NCER
006.jpeg,Spectrometry;,I-NCER
006.jpeg,Daniel,I-NCER
006.jpeg,M,I-NCER
006.jpeg,"Kane,",I-NCER
006.jpeg,Assistant,I-NCER
006.jpeg,"Professor,",I-NCER
006.jpeg,Computer,I-NCER
006.jpeg,Science,I-NCER
006.jpeg,and,I-NCER
006.jpeg,Engineering,I-NCER
006.jpeg,at,I-NCER
006.jpeg,the,I-NCER
006.jpeg,University,I-NCER
006.jpeg,of,I-NCER
006.jpeg,"California,",I-NCER
006.jpeg,San,I-NCER
006.jpeg,Diego,I-NCER
006.jpeg,Verify,I-DES
006.jpeg,at,I-DES
006.jpeg,coursera.org/verify,I-DES
006.jpeg,/JKKPMU64X2FR,I-DES
006.jpeg,Coursera,I-DES
006.jpeg,has,I-DES
006.jpeg,confirmed,I-DES
006.jpeg,the,I-DES
006.jpeg,identity,I-DES
006.jpeg,of,I-DES
006.jpeg,this,I-DES
006.jpeg,individual,I-DES
006.jpeg,and,I-DES
006.jpeg,their,I-DES
006.jpeg,participation,I-DES
006.jpeg,in,I-DES
006.jpeg,the,I-DES
006.jpeg,course.,I-DES
006.jpeg,,O
006.jpeg,,O
006.jpeg,,O
006.jpeg,,O
006.jpeg,,O
006.jpeg,,O
006.jpeg,,O
006.jpeg,,O
007.jpeg,"Ko,",B-DES
007.jpeg,SOMAIYA,I-DES
007.jpeg,|,I-DES
007.jpeg,T,I-DES
007.jpeg,The,I-DES
007.jpeg,Institution,I-DES
007.jpeg,of,I-DES
007.jpeg,VIDYAVIHAR,I-DES
007.jpeg,Engineering,I-DES
007.jpeg,and,I-DES
007.jpeg,Technology,I-DES
007.jpeg,eS,I-DES
007.jpeg,oN,I-DES
007.jpeg,ey,I-DES
007.jpeg,Somaiya,I-DES
007.jpeg,Institute,I-DES
007.jpeg,of,I-DES
007.jpeg,Technology,I-DES
007.jpeg,Participation,B-TYP
007.jpeg,Certificate,I-TYP
007.jpeg,Nidhee,B-STU
007.jpeg,Makwana,I-STU
007.jpeg,has,B-DES
007.jpeg,participated,I-DES
007.jpeg,in,I-DES
007.jpeg,National,I-DES
007.jpeg,Level,I-DES
007.jpeg,Poster,I-DES
007.jpeg,cum,I-DES
007.jpeg,Project,I-DES
007.jpeg,Competition,I-DES
007.jpeg,“KJSIT-IET-INTECH,I-DES
007.jpeg,2K23”,B-DAT
007.jpeg,organized,B-DES
007.jpeg,by,I-DES
007.jpeg,K,I-DES
007.jpeg,J,I-DES
007.jpeg,Somaiya,I-DES
007.jpeg,Institute,I-DES
007.jpeg,of,I-DES
007.jpeg,"Technology,",I-DES
007.jpeg,"Sion,",I-DES
007.jpeg,Mumbai,I-DES
007.jpeg,in,I-DES
007.jpeg,association,I-DES
007.jpeg,with,I-DES
007.jpeg,The,I-DES
007.jpeg,Institution,I-DES
007.jpeg,of,I-DES
007.jpeg,Engineering,I-DES
007.jpeg,and,I-DES
007.jpeg,"Technology,",I-DES
007.jpeg,Mumbai,I-DES
007.jpeg,Local,I-DES
007.jpeg,Network,I-DES
007.jpeg,,O
007.jpeg,on,I-DES
007.jpeg,March,B-DAT
007.jpeg,"25,",I-DAT
007.jpeg,2023,I-DAT
007.jpeg,Mr.,B-DES
007.jpeg,Vikrant,I-DES
007.jpeg,Sankhe,I-DES
007.jpeg,Dr.,I-DES
007.jpeg,Sunita,I-DES
007.jpeg,Patil,I-DES
007.jpeg,Dr.,I-DES
007.jpeg,Suresh,I-DES
007.jpeg,Ukarande,I-DES
007.jpeg,"Chairman,",I-DES
007.jpeg,IET,I-DES
007.jpeg,Mumbai,I-DES
007.jpeg,LN,I-DES
007.jpeg,Vice,I-DES
007.jpeg,"Principal,",I-DES
007.jpeg,KJSIEIT,I-DES
007.jpeg,"Principal,",I-DES
007.jpeg,KJSIEIT,I-DES
007.jpeg,,O
008.jpeg,Certificate,B-DES
008.jpeg,no:,I-DES
008.jpeg,UC-e72c73d9,I-DES
008.jpeg,-5225-429d-b8f8-O0acfbad2aic,I-DES
008.jpeg,U,B-COI
008.jpeg,a,I-COI
008.jpeg,e,I-COI
008.jpeg,my,I-COI
008.jpeg,Certificate,B-DES
008.jpeg,url:,I-DES
008.jpeg,Reference,I-DES
008.jpeg,Number:,I-DES
008.jpeg,4,I-DES
008.jpeg,CERTIFICATE,B-TYP
008.jpeg,OF,I-TYP
008.jpeg,COMPLETION,I-TYP
008.jpeg,Introduction,B-DES
008.jpeg,to,I-DES
008.jpeg,Apache,I-DES
008.jpeg,Cloudera,I-DES
008.jpeg,DataFlow,I-DES
008.jpeg,-,I-DES
008.jpeg,HDF,I-DES
008.jpeg,2,I-DES
008.jpeg,Instructors,I-DES
008.jpeg,Stephane,I-DES
008.jpeg,Maarek,I-DES
008.jpeg,|,I-DES
008.jpeg,AWS,I-DES
008.jpeg,Certified,I-DES
008.jpeg,Cloud,I-DES
008.jpeg,"Practitioner,Solutions",I-DES
008.jpeg,"Architect,",I-DES
008.jpeg,Developer,I-DES
008.jpeg,,O
008.jpeg,Priyanshu,B-STU
008.jpeg,Singh,I-STU
008.jpeg,Date,B-DES
008.jpeg,Length,I-DES
008.jpeg,2,I-DES
008.jpeg,total,I-DES
008.jpeg,hours,I-DES
009.jpeg,Certificate,B-TYP
009.jpeg,of,I-TYP
009.jpeg,Participation,I-TYP
009.jpeg,Presented,B-DES
009.jpeg,to,I-DES
009.jpeg,Sakshi,B-STU
009.jpeg,"Gangurde,",I-STU
009.jpeg,Ftadwale,I-STU
009.jpeg,&,I-STU
009.jpeg,Srushti,I-STU
009.jpeg,Kénade,I-STU
009.jpeg,for,B-DES
009.jpeg,successfully,I-DES
009.jpeg,completing,I-DES
009.jpeg,a,I-DES
009.jpeg,one-month,I-DES
009.jpeg,internship,I-DES
009.jpeg,program,I-DES
009.jpeg,on,I-DES
009.jpeg,"Azure,",I-DES
009.jpeg,Java,I-DES
009.jpeg,and,I-DES
009.jpeg,Web,I-DES
009.jpeg,Development,I-DES
009.jpeg,from,I-DES
009.jpeg,December,B-DAT
009.jpeg,2022,I-DAT
009.jpeg,to,B-DES
009.jpeg,January,B-DAT
009.jpeg,2023,I-DAT
009.jpeg,Department,B-DES
009.jpeg,of,I-DES
009.jpeg,Computer,I-DES
009.jpeg,Engineering,I-DES
009.jpeg,In,I-DES
009.jpeg,Association,I-DES
009.jpeg,with,I-DES
009.jpeg,Claidroid,B-COI
009.jpeg,Technologies,I-COI
009.jpeg,Pvt.,I-COI
009.jpeg,"Ltd.,",I-COI
009.jpeg,The,B-DES
009.jpeg,Institution,I-DES
009.jpeg,of,I-DES
009.jpeg,Engineering,I-DES
009.jpeg,and,I-DES
009.jpeg,Technology,I-DES
009.jpeg,(IET),I-DES
009.jpeg,&,I-DES
009.jpeg,Industry,I-DES
009.jpeg,Institute,I-DES
009.jpeg,Interaction,I-DES
009.jpeg,Cell,I-DES
009.jpeg,of,I-DES
009.jpeg,"KJSIT,",I-DES
009.jpeg,Mumbai,I-DES
009.jpeg,@®,I-DES
009.jpeg,©,I-DES
009.jpeg,Vinay,I-DES
009.jpeg,Sawarkar,I-DES
009.jpeg,CEO),I-DES
009.jpeg,Claidroid,I-DES
009.jpeg,Technologies,I-DES
009.jpeg,Pvt,I-DES
009.jpeg,Ltd,I-DES
009.jpeg,CTPL/Internship/Comp/@120231591,I-DES
009.jpeg,,O
010.jpeg,Certificate,B-DES
010.jpeg,no:,I-DES
010.jpeg,UC-2ab3bd7t-5a7d-489b-ad76-3ce5c92eleBe,I-DES
010.jpeg,U,I-DES
010.jpeg,a,I-DES
010.jpeg,e,I-DES
010.jpeg,mM,I-DES
010.jpeg,Certificate,I-DES
010.jpeg,url:,I-DES
010.jpeg,ude.my/UC-2ab3bd7f-5a7d-489b-ad76-3ce5c92e1e8e,I-DES
010.jpeg,Reference,I-DES
010.jpeg,Number:,I-DES
010.jpeg,4,I-DES
010.jpeg,CERTIFICATE,B-TYP
010.jpeg,OF,I-TYP
010.jpeg,COMPLETION,I-TYP
010.jpeg,Apache,B-DES
010.jpeg,Spark,I-DES
010.jpeg,3,I-DES
010.jpeg,-,I-DES
010.jpeg,Databricks,I-DES
010.jpeg,Certified,I-DES
010.jpeg,Associate,I-DES
010.jpeg,Developer,I-DES
010.jpeg,Instructors,I-DES
010.jpeg,Wadson,I-DES
010.jpeg,Guimatsa,I-DES
010.jpeg,Priyanshu,B-STU
010.jpeg,Singh3,I-STU
010.jpeg,Date,B-DES
010.jpeg,Dec.,B-DAT
010.jpeg,"7,",I-DAT
010.jpeg,2022,I-DAT
010.jpeg,Length,B-DES
010.jpeg,4.5,I-DES
010.jpeg,total,I-DES
010.jpeg,hours,I-DES
0101.jpeg,,O
0101.jpeg,VIDYAVIHAR,B-DES
0101.jpeg,K,I-DES
0101.jpeg,J,I-DES
0101.jpeg,Somaiya,I-DES
0101.jpeg,Institute,I-DES
0101.jpeg,of,I-DES
0101.jpeg,Engineering,I-DES
0101.jpeg,and,I-DES
0101.jpeg,Information,I-DES
0101.jpeg,Technology,I-DES
0101.jpeg,CERTIFICATE,B-TYP
0101.jpeg,OF,I-TYP
0101.jpeg,PARTICIPATION,I-TYP
0101.jpeg,Ananya,B-STU
0101.jpeg,Srivastava,I-STU
0101.jpeg,,O
0101.jpeg,has,I-DES
0101.jpeg,actively,I-DES
0101.jpeg,participated,I-DES
0101.jpeg,in,I-DES
0101.jpeg,Student,I-DES
0101.jpeg,Development,I-DES
0101.jpeg,Program,I-DES
0101.jpeg,on,I-DES
0101.jpeg,"""Building",I-DES
0101.jpeg,Start-Up,I-DES
0101.jpeg,"Ecosystems""",I-DES
0101.jpeg,held,I-DES
0101.jpeg,on,I-DES
0101.jpeg,1,B-DAT
0101.jpeg,July,I-DAT
0101.jpeg,2021,I-DAT
0101.jpeg,to,B-DES
0101.jpeg,3,B-DAT
0101.jpeg,July,I-DAT
0101.jpeg,20201,I-DAT
0101.jpeg,Organized,B-DES
0101.jpeg,by,I-DES
0101.jpeg,INNOVATION,I-DES
0101.jpeg,COUNCIL,I-DES
0101.jpeg,National,I-DES
0101.jpeg,Innovation,I-DES
0101.jpeg,and,I-DES
0101.jpeg,Startup,I-DES
0101.jpeg,Policy,I-DES
0101.jpeg,(NISP),I-DES
0101.jpeg,io,I-DES
0101.jpeg,,O
0101.jpeg,in,I-DES
0101.jpeg,Association,I-DES
0101.jpeg,with,I-DES
0101.jpeg,Institution's,I-DES
0101.jpeg,Innovation,I-DES
0101.jpeg,Council,I-DES
0101.jpeg,(IIC),I-DES
0101.jpeg,Ye,I-DES
0101.jpeg,Yor,I-DES
0101.jpeg,a,I-DES
0101.jpeg,,O
0101.jpeg,,O
0101.jpeg,,O
0101.jpeg,,O
0101.jpeg,Dr.,B-NCER
0101.jpeg,Vaishali,I-NCER
0101.jpeg,Wadhe,I-NCER
0101.jpeg,Dr.,I-NCER
0101.jpeg,Hariram,I-NCER
0101.jpeg,Chavan,I-NCER
0101.jpeg,Dr.,I-NCER
0101.jpeg,Radhika,I-NCER
0101.jpeg,Kotecha,I-NCER
0101.jpeg,Dr.,I-NCER
0101.jpeg,Sunita,I-NCER
0101.jpeg,Patil,I-NCER
0101.jpeg,Dr.,I-NCER
0101.jpeg,Suresh,I-NCER
0101.jpeg,Ukarande,I-NCER
0101.jpeg,Coordinator,I-NCER
0101.jpeg,SDP,I-NCER
0101.jpeg,Convenor,I-NCER
0101.jpeg,SDP,I-NCER
0101.jpeg,Convenor,I-NCER
0101.jpeg,IIC,I-NCER
0101.jpeg,Vice-Principal,I-NCER
0101.jpeg,Principal,I-NCER
0101.jpeg,,O
0102.jpeg,Official,B-COI
0102.jpeg,member,I-COI
0102.jpeg,to,I-COI
0102.jpeg,©,I-COI
0102.jpeg,Suven,I-COI
0102.jpeg,Consultants,I-COI
0102.jpeg,&,I-COI
0102.jpeg,Technology,I-COI
0102.jpeg,Pvt.,I-COI
0102.jpeg,Ltd.,I-COI
0102.jpeg,shines,I-COI
0102.jpeg,ay:,I-COI
0102.jpeg,CERTIFICATE,B-TYP
0102.jpeg,OF,I-TYP
0102.jpeg,INTERNSHIP,I-TYP
0102.jpeg,This,B-DES
0102.jpeg,is,I-DES
0102.jpeg,to,I-DES
0102.jpeg,certify,I-DES
0102.jpeg,that,I-DES
0102.jpeg,Priyanshu,B-STU
0102.jpeg,Singh,I-STU
0102.jpeg,has,B-DES
0102.jpeg,successfully,I-DES
0102.jpeg,completed,I-DES
0102.jpeg,2,I-DES
0102.jpeg,weeks,I-DES
0102.jpeg,(or,I-DES
0102.jpeg,70,I-DES
0102.jpeg,hrs),I-DES
0102.jpeg,HTML5+CSS3,I-DES
0102.jpeg,Coding,I-DES
0102.jpeg,Internship.,I-DES
0102.jpeg,1),I-DES
0102.jpeg,365,I-DES
0102.jpeg,Entertainment,I-DES
0102.jpeg,-,I-DES
0102.jpeg,similar,I-DES
0102.jpeg,to,I-DES
0102.jpeg,Hotstar.com,I-DES
0102.jpeg,2),I-DES
0102.jpeg,Blogging,I-DES
0102.jpeg,-,I-DES
0102.jpeg,similar,I-DES
0102.jpeg,to,I-DES
0102.jpeg,Medium.com,I-DES
0102.jpeg,3),I-DES
0102.jpeg,CSS3,I-DES
0102.jpeg,Animations,I-DES
0102.jpeg,4),I-DES
0102.jpeg,Voter,I-DES
0102.jpeg,Registration,I-DES
0102.jpeg,-,I-DES
0102.jpeg,Replica,I-DES
0102.jpeg,of,I-DES
0102.jpeg,National,I-DES
0102.jpeg,Voter,I-DES
0102.jpeg,Service,I-DES
0102.jpeg,Portal,I-DES
0102.jpeg,Form,I-DES
0102.jpeg,6,I-DES
0102.jpeg,The,I-DES
0102.jpeg,projects,I-DES
0102.jpeg,were,I-DES
0102.jpeg,assessed,I-DES
0102.jpeg,by,I-DES
0102.jpeg,Al,I-DES
0102.jpeg,Engine,I-DES
0102.jpeg,trained,I-DES
0102.jpeg,by,I-DES
0102.jpeg,mentors,I-DES
0102.jpeg,as,I-DES
0102.jpeg,listed,I-DES
0102.jpeg,on,I-DES
0102.jpeg,https://mentor.suvenconsultants.com,I-DES
0102.jpeg,Your,I-DES
0102.jpeg,performance,I-DES
0102.jpeg,was,I-DES
0102.jpeg,Commendable,I-DES
0102.jpeg,-,I-DES
0102.jpeg,LY,I-DES
0102.jpeg,®,I-DES
0102.jpeg,inthe,I-DES
0102.jpeg,Online,I-DES
0102.jpeg,Internship.,I-DES
0102.jpeg,Wishing,I-DES
0102.jpeg,you,I-DES
0102.jpeg,all,I-DES
0102.jpeg,the,I-DES
0102.jpeg,best,I-DES
0102.jpeg,for,I-DES
0102.jpeg,more,I-DES
0102.jpeg,internships,I-DES
0102.jpeg,and,I-DES
0102.jpeg,a,I-DES
0102.jpeg,great,I-DES
0102.jpeg,career.,I-DES
0102.jpeg,Your,I-DES
0102.jpeg,Internship,I-DES
0102.jpeg,Profile,I-DES
0102.jpeg,can,I-DES
0102.jpeg,be,I-DES
0102.jpeg,viewed,I-DES
0102.jpeg,on,I-DES
0102.jpeg,Domain,B-NCER
0102.jpeg,Expert:,I-NCER
0102.jpeg,Rocky,I-NCER
0102.jpeg,Jagtiani,I-NCER
0102.jpeg,Domain,I-NCER
0102.jpeg,Expert:,I-NCER
0102.jpeg,Niraj,I-NCER
0102.jpeg,Sharma,I-NCER
0102.jpeg,Domain,I-NCER
0102.jpeg,Expert:,I-NCER
0102.jpeg,Tarik,I-NCER
0102.jpeg,Sheth,I-NCER
0102.jpeg,Date,B-DAT
0102.jpeg,of,I-DAT
0102.jpeg,Issue:,I-DAT
0102.jpeg,########,O
0102.jpeg,Technical,B-NCER
0102.jpeg,Head,I-NCER
0102.jpeg,-,O
0102.jpeg,SCTPL.,I-NCER
